Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2016-08-31,0.011855282,0.004212627,0.007861126,0.000936709,0.0012326,0.000534953,0,-0.023662924
2016-09-01,0.005582256,-0.005364257,0.008908488,0.008701179,-0.002465867,-0.002677703,0.022019183,0.002278079
2016-09-02,0.018578519,0.028032238,-0.009468145,-0.004030387,0.012270073,0.018592839,0.017986097,0.009059466
2016-09-06,-0.01186188,0.039551436,-0.006174741,-0.005919932,-0.018462248,0.000526297,0.012400522,-0.002256784
2016-09-07,-0.001748125,0.005013966,0.016197086,-0.01352859,-0.003733414,-0.079911398,-0.032203123,-0.033317667
2016-09-08,0.005814018,0.00178497,-0.004442133,0.012590673,0.003112074,-0.033017682,0.016231222,0.077523296
2016-09-09,-0.015481544,-0.018719138,-0.032808373,-0.014492936,-0.005609157,-0.020226695,-0.060848316,-0.026288092
2016-09-12,-0.007386429,0,-0.013897239,-0.007965647,-0.008788572,0.024927113,-0.005719739,-0.004449018
2016-09-13,-0.022189891,0.00326463,-0.015276495,-0.020032995,-0.013968523,-0.018338221,-0.048981388,-0.071624681
2016-09-14,0.000303196,0.011523498,-0.017921512,0.003908971,0.003828981,-0.004230821,-0.002010011,-0.021792737
2016-09-15,0.00634533,0.011746245,0.003009295,0.009705511,0.007614082,-0.001818919,0,0.043120813
2016-09-16,-0.00634533,0.012308823,0,-0.013614482,-0.004433928,-0.00730814,0,-0.007059088
2016-09-19,0.005441499,-0.021552041,0.001801459,0.008126255,0,0.009127059,-0.014184655,0.009400586
2016-09-20,-0.003624297,0.011364142,-0.000599993,-0.00616984,-0.00892896,-0.009738448,-0.033198038,-0.02726921
2016-09-21,0.017099306,0.010537431,0.031898712,0.019674801,0.01840736,0.029529171,0.033198038,0.03310065
2016-09-22,0.003432886,0.009736093,-0.001163531,0.032676363,0.01560081,0.027527349,0.016194666,0.053209815
2016-09-23,-0.002984227,-0.017453045,-0.017616508,-0.006201395,0.00432469,-0.019837451,-0.01212132,-0.03022047
2016-09-26,-0.005394282,-0.015256416,-0.007731058,-0.002179784,-0.030674871,-0.014243539,-0.006116217,0.015783909
2016-09-27,-0.00542331,0.000714808,0.002980394,-0.041692481,-0.005738163,-0.026651977,-0.022751809,-0.038773254
2016-09-28,0.009022699,0.016777532,0.030495693,0.049455378,0.037099706,0.020656878,0.103266295,0.09127528
2016-09-29,-0.001198493,-0.005643745,0.024434235,-0.006516725,0.008604379,0.010765575,0.038857775,0.011634802
2016-09-30,0.011326785,0.002825593,0.013698709,0.007753123,0.007317575,-0.001190311,-0.005459513,-0.025560762
2016-10-03,-0.010128291,-0.016000241,0.006216462,0.000926332,-0.002433499,-0.004776329,-0.011009249,0.008592916
2016-10-04,-0.012957764,-0.001075598,-0.007918816,-0.004330293,-0.009176755,-0.023003508,0.011009249,-0.006438169
2016-10-05,0.008757397,0.024105546,0.042796268,0.024496077,0.007958414,0.006713474,0.041113915,0.03490607
2016-10-06,0.00360173,0.01079983,-0.011491156,0.00211506,0.010312734,0.017486197,0.041172222,0.027679991
2016-10-07,-0.001499387,-0.008350629,-0.005518611,-0.010620822,0.003012484,0.048989414,0.028170893,-0.048689187
2016-10-11,-0.007227119,-0.008773746,-0.008335443,0.010620822,0.004802071,0.013005498,0.03057354,-0.024719435
